ID_REF	VALUE
1415670_at	8.60968
1415671_at	9.08638
1415672_at	10.4281
1415673_at	7.47671
1415674_a_at	8.2991
1415675_at	8.59572
1415676_a_at	9.68503
1415677_at	8.39917
1415678_at	9.48594
1415679_at	10.413
1415680_at	7.39083
1415681_at	8.47773
1415682_at	7.37133
1415683_at	9.33013
1415684_at	7.55426
1415685_at	7.94245
1415686_at	8.5711
1415687_a_at	10.8606
1415688_at	9.55435
1415689_s_at	8.25738
1415690_at	10.1837
1415691_at	9.64411
1415692_s_at	11.2314
1415693_at	8.65387
1415694_at	6.49805
1415695_at	9.67914
1415696_at	10.5332
1415697_at	7.93812
1415698_at	7.96624
1415699_a_at	9.25639
1415700_a_at	10.7833
1415701_x_at	13.4089
1415702_a_at	9.53834
1415703_at	8.09124
1415704_a_at	10.1162
1415705_at	8.32407
1415706_at	10.6881
1415707_at	8.97706
1415708_at	9.44296
1415709_s_at	7.82411
1415710_at	7.18536
1415711_at	8.56476
1415712_at	8.29726
1415713_a_at	7.14856
1415714_a_at	10.264
1415715_at	7.23493
1415716_a_at	12.4972
1415717_at	7.70926
1415718_at	8.93034
1415719_s_at	8.91695
1415720_s_at	7.52668
1415721_a_at	8.40435
1415722_a_at	8.56019
1415723_at	10.482
1415724_a_at	9.47116
1415725_at	7.55279
1415726_at	8.4136
1415727_at	9.88446
1415728_at	8.11779
1415729_at	8.34145
1415730_at	8.46247
1415731_at	8.14071
1415732_at	8.53535
1415733_a_at	9.68148
1415734_at	10.1844
1415735_at	9.10017
1415736_at	10.8808
1415737_at	8.5255
1415738_at	8.51596
1415739_at	8.4827
1415740_at	8.32796
1415741_at	9.99881
1415742_at	7.4683
1415743_at	7.60686
1415744_at	8.94003
1415745_a_at	8.10151
1415746_at	8.13606
1415747_s_at	9.54647
1415748_a_at	7.74806
1415749_a_at	9.45244
1415750_at	5.99072
1415751_at	10.2136
1415752_at	10.3883
1415753_at	8.20307
1415754_at	9.35747
1415755_a_at	8.90551
1415756_a_at	8.62812
1415757_at	7.47725
1415758_at	8.61967
1415759_a_at	10.0161
1415760_s_at	10.3182
1415761_at	8.79287
1415762_x_at	8.84307
1415763_a_at	9.48576
1415764_at	11.3515
1415765_at	7.10806
1415766_at	9.26919
1415767_at	7.80086
1415768_a_at	9.83036
1415769_at	9.01619
1415770_at	8.93319
1415771_at	9.97575
1415772_at	8.20138
1415773_at	7.65283
1415774_at	7.04848
1415775_at	11.0977
1415776_at	6.83867
1415777_at	4.10976
1415778_at	11.2284
1415779_s_at	12.8447
1415780_a_at	8.55393
1415781_a_at	12.8751
1415782_at	11.8578
1415783_at	10.2314
1415784_at	5.60603
1415785_a_at	9.34812
1415786_at	5.13632
1415787_at	7.8984
1415788_at	8.64907
1415789_a_at	4.88248
1415790_at	6.43139
1415791_at	7.67322
1415792_at	8.10363
1415793_at	6.76956
1415794_a_at	9.49816
1415795_at	5.29488
1415796_at	10.026
1415797_at	6.49082
1415798_at	4.66486
1415799_at	7.96176
1415800_at	10.0405
1415801_at	3.70599
1415802_at	6.93191
1415803_at	5.9346
1415804_at	4.94929
1415805_at	3.75332
1415806_at	8.3339
1415807_s_at	6.20848
1415808_at	3.61281
1415809_at	2.85185
1415810_at	4.18367
1415811_at	4.49814
1415812_at	13.8089
1415813_at	8.80175
1415814_at	8.05498
1415815_at	3.18516
1415816_at	10.2547
1415817_s_at	8.7853
1415818_at	9.53154
1415819_a_at	9.06065
1415820_x_at	9.11106
1415821_at	10.9752
1415822_at	10.9238
1415823_at	6.6605
1415824_at	5.90913
1415825_s_at	7.37843
1415826_at	8.32299
1415827_a_at	10.6338
1415828_a_at	8.69127
1415829_at	9.08691
1415830_at	7.14756
1415831_at	9.19724
1415832_at	4.50059
1415833_x_at	13.6308
1415834_at	9.5015
1415835_at	3.5177
1415836_at	6.72708
1415837_at	2.82017
1415838_at	9.53882
1415839_a_at	11.1899
1415840_at	9.8419
1415841_at	9.48625
1415842_at	6.35185
1415843_at	4.17333
1415844_at	3.53359
1415845_at	5.03722
1415846_a_at	2.63654
1415847_at	3.13339
1415848_at	5.5728
1415849_s_at	8.86978
1415850_at	7.3808
1415851_a_at	9.52869
1415852_at	9.38188
1415853_at	7.31001
1415854_at	3.69648
1415855_at	9.14332
1415856_at	8.55246
1415857_at	7.8721
1415858_at	9.86183
1415859_at	10.0681
1415860_at	7.66712
1415861_at	3.26427
1415862_at	3.22741
1415863_at	10.9273
1415864_at	6.43017
1415865_s_at	7.53931
1415866_at	6.34715
1415867_at	9.72963
1415868_at	3.76204
1415869_a_at	8.61437
1415870_at	11.137
1415871_at	9.2714
1415872_at	11.0013
1415873_a_at	8.84874
1415874_at	8.67452
1415875_at	3.38029
1415876_a_at	12.5355
1415877_at	8.77994
1415878_at	7.4406
1415879_a_at	13.4346
1415880_a_at	11.7036
1415881_at	9.11452
1415882_at	9.76339
1415883_a_at	3.36134
1415884_at	5.53041
1415885_at	5.29532
1415886_at	6.11418
1415887_at	9.31695
1415888_at	9.84343
1415889_a_at	11.4514
1415890_at	9.45436
1415891_at	10.0844
1415892_at	7.08952
1415893_at	3.80609
1415894_at	7.47324
1415895_at	10.4062
1415896_x_at	9.12324
1415897_a_at	11.1533
1415898_at	2.97619
1415899_at	10.6138
1415900_a_at	3.76293
1415901_at	8.78689
1415902_at	3.20062
1415903_at	6.71904
1415904_at	10.6785
1415905_at	3.68508
1415906_at	13.4262
1415907_at	8.51147
1415908_at	9.52962
1415909_at	6.85266
1415910_s_at	7.85486
1415911_at	8.84617
1415912_a_at	11.8442
1415913_at	5.49804
1415914_at	9.98101
1415915_at	9.37137
1415916_a_at	8.08126
1415917_at	6.80806
1415918_a_at	9.86241
1415919_at	9.08871
1415920_at	8.84352
1415921_a_at	4.38221
1415922_s_at	7.0616
1415923_at	9.75999
1415924_at	2.9207
1415925_a_at	6.46596
1415926_at	6.88773
1415927_at	11.561
1415928_a_at	11.5753
1415929_at	10.2502
1415930_a_at	11.2471
1415931_at	3.77961
1415932_x_at	7.57684
1415933_a_at	10.9982
1415934_at	8.10437
1415935_at	10.0219
1415936_at	7.12193
1415937_s_at	6.47564
1415938_at	3.07442
1415939_at	10.9323
1415940_at	7.96291
1415941_s_at	7.42399
1415942_at	13.2567
1415943_at	8.09284
1415944_at	7.25526
1415945_at	4.6415
1415946_at	7.39607
1415947_at	9.33497
1415948_at	9.58457
1415949_at	12.9927
1415950_a_at	11.3838
1415951_at	8.91318
1415952_at	7.39632
1415953_s_at	6.81771
1415954_at	2.95971
1415955_x_at	5.94207
1415956_a_at	6.40232
1415957_a_at	7.13297
1415958_at	8.00737
1415959_at	6.50402
1415960_at	4.66262
1415961_at	10.9518
1415962_at	10.6616
1415963_at	9.35973
1415964_at	12.5251
1415965_at	7.40509
1415966_a_at	9.25808
1415967_at	9.21386
1415968_a_at	6.39172
1415969_s_at	2.90678
1415970_at	11.5705
1415971_at	9.08299
1415972_at	7.27465
1415973_at	8.79279
1415974_at	8.11974
1415975_at	8.17718
1415976_a_at	6.93206
1415977_at	6.67922
1415978_at	5.99078
1415979_x_at	12.7516
1415980_at	10.7471
1415981_at	8.98725
1415982_at	6.98159
1415983_at	7.95688
1415984_at	9.62025
1415985_at	8.82918
1415986_at	8.89763
1415987_at	9.94573
1415988_at	10.0208
1415989_at	6.42482
1415990_at	10.3635
1415991_a_at	10.3083
1415992_at	6.22027
1415993_at	8.07765
1415994_at	9.75961
1415995_at	6.95994
1415996_at	11.0968
1415997_at	7.46838
1415998_at	8.87377
1415999_at	6.70945
1416000_a_at	11.7142
1416001_a_at	8.3086
1416002_x_at	6.55817
1416003_at	5.11772
1416004_at	9.69165
1416005_at	8.23711
1416006_at	7.98498
1416007_at	5.1563
1416008_at	5.67286
1416009_at	10.6372
1416010_a_at	8.46689
1416011_x_at	7.15808
1416012_at	5.90159
1416013_at	8.48466
1416014_at	8.09827
1416015_s_at	8.71167
1416016_at	6.53463
1416017_at	8.44352
1416018_at	7.95653
1416019_at	3.37097
1416020_a_at	9.29983
1416021_a_at	10.2167
1416022_at	8.83276
1416023_at	6.75415
1416024_x_at	10.0511
1416025_at	3.40284
1416026_a_at	11.7071
1416027_at	10.2639
1416028_a_at	7.03147
1416029_at	8.4965
1416030_a_at	5.8268
1416031_s_at	6.48785
1416032_at	8.67354
1416033_at	4.68787
1416034_at	9.06637
1416035_at	8.22486
1416036_at	9.75006
1416037_a_at	9.51289
1416038_at	8.22478
1416039_x_at	11.2318
1416040_at	13.8218
1416041_at	11.1691
1416042_s_at	7.13301
1416043_at	3.06108
1416044_at	8.99244
1416045_a_at	7.81805
1416046_a_at	6.45414
1416047_at	3.90832
1416048_at	8.46619
1416049_at	4.08844
1416050_a_at	8.143
1416051_at	5.71895
1416052_at	8.20582
1416053_at	4.1284
1416054_at	12.8343
1416055_at	2.52816
1416056_a_at	11.823
1416057_at	11.3085
1416058_s_at	11.5033
1416059_at	9.18824
1416060_at	9.41178
1416061_at	7.65811
1416062_at	6.57541
1416063_x_at	2.39597
1416064_a_at	12.0101
1416065_a_at	9.02105
1416066_at	11.7541
1416067_at	8.94347
1416068_at	8.11596
1416069_at	9.16065
1416070_a_at	7.15388
1416071_at	7.61906
1416072_at	10.3386
1416073_a_at	8.02117
1416074_a_at	13.0916
1416075_at	6.45286
1416076_at	3.90893
1416077_at	5.9545
1416078_s_at	8.64699
1416079_a_at	8.42282
1416080_at	6.0911
1416081_at	6.99465
1416082_at	11.6876
1416083_at	9.40764
1416084_at	6.4079
1416085_s_at	9.95436
1416086_at	7.22493
1416087_at	7.57986
1416088_a_at	12.3249
1416089_at	12.2593
1416090_at	9.3354
1416091_at	8.50928
1416092_a_at	8.22893
1416093_a_at	8.99653
1416094_at	9.27835
1416095_x_at	9.89222
1416096_at	7.61987
1416097_at	3.79931
1416098_at	5.65459
1416099_at	11.8805
1416100_at	8.78723
1416101_a_at	11.0298
1416102_at	8.84032
1416103_at	8.66432
1416104_at	7.40762
1416105_at	9.44327
1416106_at	7.13608
1416107_at	6.16274
1416108_a_at	10.6809
1416109_at	9.85587
1416110_at	7.39479
1416111_at	5.89831
1416112_at	10.2253
1416113_at	8.37642
1416114_at	12.1931
1416115_at	7.49204
1416116_at	5.26073
1416117_at	5.87673
1416118_at	6.01911
1416119_at	11.4822
1416120_at	3.89905
1416121_at	11.1058
1416122_at	10.8143
1416123_at	8.40559
1416124_at	5.72525
1416125_at	8.09273
1416126_at	4.77224
1416127_a_at	8.23917
1416128_at	6.69612
1416129_at	10.0803
1416130_at	9.44666
1416131_s_at	9.34124
1416132_at	5.98469
1416133_at	9.70509
1416134_at	5.68713
1416135_at	7.77137
1416136_at	12.0075
1416137_at	7.89904
1416138_at	10.113
1416139_at	4.54258
1416140_a_at	7.67399
1416141_a_at	13.6685
1416142_at	9.03913
1416143_at	11.0289
1416144_a_at	10.7592
1416145_at	10.2155
1416146_at	9.04893
1416147_at	7.69983
1416148_at	8.29617
1416149_at	3.56426
1416150_a_at	9.70816
1416151_at	7.99557
1416152_a_at	7.26284
1416153_at	10.3349
1416154_at	5.48773
1416155_at	6.48251
1416156_at	10.6414
1416157_at	3.64563
1416158_at	7.39301
1416159_at	9.26331
1416160_at	6.81453
1416161_at	9.30251
1416162_at	5.13398
1416163_at	8.10151
1416164_at	10.0197
1416165_at	9.22318
1416166_a_at	7.82365
1416167_at	10.1223
1416168_at	11.8965
1416169_at	3.20564
1416170_at	7.4679
1416171_at	8.59882
1416172_at	7.65927
1416173_at	5.02032
1416174_at	8.12733
1416175_a_at	10.3226
1416176_at	10.0614
1416177_at	9.24746
1416178_a_at	8.3338
1416179_a_at	10.1865
1416180_a_at	9.94564
1416181_at	10.5713
1416182_at	6.93889
1416183_a_at	9.49658
1416184_s_at	5.9988
1416185_a_at	10.3878
1416186_at	8.2932
1416187_s_at	9.30536
1416188_at	6.01008
1416189_a_at	10.9235
1416190_a_at	6.06956
1416191_at	6.90969
1416192_at	6.30008
1416193_at	3.56305
1416194_at	7.83486
1416195_at	8.12189
1416196_at	4.45632
1416197_at	9.00561
1416198_at	6.78471
1416199_at	6.88053
1416200_at	8.68251
1416201_at	8.10453
1416202_at	9.2224
1416203_at	11.8474
1416204_at	5.08772
1416205_at	6.82471
1416206_at	6.04857
1416207_at	8.33631
1416208_at	7.70013
1416209_at	8.8325
1416210_at	9.72643
1416211_a_at	8.5662
1416212_at	9.9756
1416213_x_at	7.69733
1416214_at	7.21546
1416215_at	7.94863
1416216_at	7.06208
1416217_a_at	13.2412
1416218_x_at	7.38609
1416219_at	12.8794
1416220_at	10.7261
1416221_at	11.9692
1416222_at	7.48841
1416223_at	7.48779
1416224_at	7.36371
1416225_at	11.1905
1416226_at	10.677
1416227_at	7.36102
1416228_at	8.39562
1416229_at	6.91871
1416230_at	7.17233
1416231_at	4.27351
1416232_at	2.74599
1416233_at	10.9675
1416234_at	9.21866
1416235_at	7.02441
1416236_a_at	4.96594
1416237_at	3.95768
1416238_at	6.42433
1416239_at	6.41494
1416240_at	10.4183
1416241_at	9.41881
1416242_at	5.27054
1416243_a_at	12.2107
1416244_a_at	10.5443
1416245_at	9.41813
1416246_a_at	7.40111
1416247_at	9.24069
1416248_at	8.86468
1416249_at	6.51386
1416250_at	12.281
1416251_at	8.33834
1416252_at	8.62637
1416253_at	7.63658
1416254_a_at	6.90448
1416255_at	6.27601
1416256_a_at	10.5821
1416257_at	9.89217
1416258_at	4.55391
1416259_at	6.94065
1416260_a_at	8.48991
1416261_at	7.07816
1416262_at	5.7964
1416263_at	5.45164
1416264_at	7.01874
1416265_at	5.5709
1416266_at	4.33279
1416267_at	8.37941
1416268_at	8.97944
1416269_at	10.9491
1416270_at	9.23161
1416271_at	7.009
1416272_at	9.45468
1416273_at	6.12869
1416274_at	5.90116
1416275_at	6.16461
1416276_a_at	13.2578
1416277_a_at	13.2815
1416278_a_at	10.315
1416279_at	8.55962
1416280_at	8.98814
1416281_at	9.47714
1416282_at	9.83524
1416283_at	7.98854
1416284_at	8.25213
1416285_at	10.3623
1416286_at	7.54736
1416287_at	6.80244
1416288_at	10.3798
1416289_at	8.46543
1416290_a_at	8.83922
1416291_at	7.78526
1416292_at	8.53846
1416293_at	5.20954
1416294_at	7.57715
1416295_a_at	7.00876
1416296_at	6.06943
1416297_s_at	4.65826
1416298_at	7.24259
1416299_at	4.8762
1416300_a_at	10.9811
1416301_a_at	8.69886
1416302_at	7.53017
1416303_at	9.38966
1416304_at	7.55311
1416305_at	6.0253
1416306_at	3.84597
1416307_at	8.05877
1416308_at	11.043
1416309_at	5.33079
1416310_at	3.36951
1416311_s_at	6.80337
1416312_at	8.42382
1416313_at	7.41006
1416314_at	3.70586
1416315_at	8.27927
1416316_at	4.62972
1416317_a_at	6.18785
1416318_at	6.05854
1416319_at	9.22408
1416320_at	6.66435
1416321_s_at	10.5979
1416322_at	8.34057
1416323_at	6.45483
1416324_s_at	7.28689
1416325_at	2.57008
