"probe_id"	"ensembl_id"	"expression"
"1415670_at"	"ENSMUSG00000030058"	8.60968
"1415671_at"	"ENSMUSG00000013160"	9.08638
"1415672_at"	"ENSMUSG00000015341"	10.4281
"1415673_at"	"ENSMUSG00000029446"	7.47671
"1415674_a_at"	"ENSMUSG00000032112"	8.2991
"1415675_at"	"ENSMUSG00000026810"	8.59572
"1415676_a_at"	"ENSMUSG00000022193"	9.68503
"1415677_at"	"ENSMUSG00000002332"	8.39917
"1415678_at"	"ENSMUSG00000021096"	9.48594
"1415679_at"	"ENSMUSG00000036835"	10.413
"1415680_at"	"ENSMUSG00000014355"	7.39083
"1415681_at"	"ENSMUSG00000025208"	8.47773
"1415682_at"	"ENSMUSG00000022100"	7.37133
"1415683_at"	"ENSMUSG00000020936"	9.33013
"1415684_at"	"ENSMUSG00000038160"	7.55426
"1415685_at"	"ENSMUSG00000020459"	7.94245
"1415686_at"	"ENSMUSG00000026878"	8.5711
"1415687_a_at"	"ENSMUSG00000004207"	10.8606
"1415688_at"	"ENSMUSG00000020794"	9.55435
"1415689_s_at"	"ENSMUSG00000021327"	8.25738
"1415690_at"	"ENSMUSG00000024414"	10.1837
"1415691_at"	"ENSMUSG00000022770"	9.64411
"1415692_s_at"	"ENSMUSG00000020368"	11.2314
"1415693_at"	"ENSMUSG00000022365"	8.65387
"1415694_at"	"ENSMUSG00000021266"	6.49805
"1415695_at"	"ENSMUSG00000030751"	9.67914
"1415696_at"	"ENSMUSG00000020088"	10.5332
"1415697_at"	"ENSMUSG00000029405"	7.93812
"1415698_at"	"ENSMUSG00000021556"	7.96624
"1415699_a_at"	"ENSMUSG00000025156"	9.25639
"1415700_a_at"	"ENSMUSG00000027828"	10.7833
"1415702_a_at"	"ENSMUSG00000037373"	9.53834
"1415703_at"	"ENSMUSG00000025261"	8.09124
"1415704_a_at"	"ENSMUSG00000032803"	10.1162
"1415705_at"	"ENSMUSG00000044600"	8.32407
"1415706_at"	"ENSMUSG00000026553"	10.6881
"1415707_at"	"ENSMUSG00000026965"	8.97706
"1415708_at"	"ENSMUSG00000056579"	9.44296
"1415709_s_at"	"ENSMUSG00000025224"	7.82411
"1415710_at"	"ENSMUSG00000035505"	7.18536
"1415711_at"	"ENSMUSG00000067851"	8.56476
"1415712_at"	"ENSMUSG00000030967"	8.29726
"1415713_a_at"	"ENSMUSG00000041645"	7.14856
"1415714_a_at"	"ENSMUSG00000001158"	10.264
"1415715_at"	"ENSMUSG00000019295"	7.23493
"1415717_at"	"ENSMUSG00000028677"	7.70926
"1415718_at"	"ENSMUSG00000020519"	8.93034
"1415719_s_at"	"ENSMUSG00000027599"	8.91695
"1415720_s_at"	"ENSMUSG00000034509"	7.52668
"1415721_a_at"	"ENSMUSG00000005982"	8.40435
"1415722_a_at"	"ENSMUSG00000019868"	8.56019
"1415723_at"	"ENSMUSG00000021282"	10.482
"1415724_a_at"	"ENSMUSG00000006699"	9.47116
"1415725_at"	"ENSMUSG00000022682"	7.55279
"1415726_at"	"ENSMUSG00000055204"	8.4136
"1415727_at"	"ENSMUSG00000028070"	9.88446
"1415728_at"	"ENSMUSG00000022194"	8.11779
"1415729_at"	"ENSMUSG00000024122"	8.34145
"1415730_at"	"ENSMUSG00000034820"	8.46247
"1415731_at"	"ENSMUSG00000026634"	8.14071
"1415732_at"	"ENSMUSG00000007036"	8.53535
"1415734_at"	"ENSMUSG00000079477"	10.1844
"1415735_at"	"ENSMUSG00000024740"	9.10017
"1415736_at"	"ENSMUSG00000001289"	10.8808
"1415737_at"	"ENSMUSG00000024712"	8.5255
"1415738_at"	"ENSMUSG00000028567"	8.51596
"1415739_at"	"ENSMUSG00000036733"	8.4827
"1415740_at"	"ENSMUSG00000020708"	8.32796
"1415741_at"	"ENSMUSG00000029234"	9.99881
"1415742_at"	"ENSMUSG00000068328"	7.4683
"1415743_at"	"ENSMUSG00000008855"	7.60686
"1415744_at"	"ENSMUSG00000024309"	8.94003
"1415745_a_at"	"ENSMUSG00000022898"	8.10151
"1415746_at"	"ENSMUSG00000005442"	8.13606
"1415747_s_at"	"ENSMUSG00000024404"	9.54647
"1415748_a_at"	"ENSMUSG00000030868"	7.74806
"1415749_a_at"	"ENSMUSG00000028646"	9.45244
"1415750_at"	"ENSMUSG00000040688"	5.99072
"1415751_at"	"ENSMUSG00000028759"	10.2136
"1415752_at"	"ENSMUSG00000036299"	10.3883
"1415753_at"	"ENSMUSG00000003346"	8.20307
"1415754_at"	"ENSMUSG00000033020"	9.35747
"1415755_a_at"	"ENSMUSG00000078923"	8.90551
"1415756_a_at"	"ENSMUSG00000001018"	8.62812
"1415757_at"	"ENSMUSG00000025224"	7.47725
"1415758_at"	"ENSMUSG00000070733"	8.61967
"1415759_a_at"	"ENSMUSG00000087260"	10.0161
"1415760_s_at"	"ENSMUSG00000018585"	10.3182
"1415761_at"	"ENSMUSG00000010406"	8.79287
"1415762_x_at"	"ENSMUSG00000010406"	8.84307
"1415763_a_at"	"ENSMUSG00000028797"	9.48576
"1415765_at"	"ENSMUSG00000071659"	7.10806
"1415766_at"	"ENSMUSG00000027879"	9.26919
"1415767_at"	"ENSMUSG00000038848"	7.80086
"1415768_a_at"	"ENSMUSG00000036241"	9.83036
"1415769_at"	"ENSMUSG00000027598"	9.01619
"1415770_at"	"ENSMUSG00000066357"	8.93319
"1415771_at"	"ENSMUSG00000026234"	9.97575
"1415772_at"	"ENSMUSG00000026234"	8.20138
"1415773_at"	"ENSMUSG00000026234"	7.65283
"1415774_at"	"ENSMUSG00000024271"	7.04848
"1415775_at"	"ENSMUSG00000031353"	11.0977
"1415776_at"	"ENSMUSG00000010025"	6.83867
"1415777_at"	"ENSMUSG00000042179"	4.10976
"1415778_at"	"ENSMUSG00000031422"	11.2284
"1415779_s_at"	"ENSMUSG00000062825"	12.8447
"1415780_a_at"	"ENSMUSG00000033436"	8.55393
"1415781_a_at"	"ENSMUSG00000020738"	12.8751
"1415782_at"	"ENSMUSG00000020738"	11.8578
"1415783_at"	"ENSMUSG00000031696"	10.2314
"1415784_at"	"ENSMUSG00000031696"	5.60603
"1415785_a_at"	"ENSMUSG00000025613"	9.34812
"1415786_at"	"ENSMUSG00000023987"	5.13632
"1415787_at"	"ENSMUSG00000071650"	7.8984
"1415791_at"	"ENSMUSG00000029474"	7.67322
"1415792_at"	"ENSMUSG00000027466"	8.10363
"1415793_at"	"ENSMUSG00000018659"	6.76956
"1415794_a_at"	"ENSMUSG00000021395"	9.49816
"1415795_at"	"ENSMUSG00000021395"	5.29488
"1415797_at"	"ENSMUSG00000003534"	6.49082
"1415798_at"	"ENSMUSG00000003534"	4.66486
"1415799_at"	"ENSMUSG00000030216"	7.96176
"1415800_at"	"ENSMUSG00000050953"	10.0405
"1415801_at"	"ENSMUSG00000050953"	3.70599
"1415802_at"	"ENSMUSG00000032902"	6.93191
"1415803_at"	"ENSMUSG00000031778"	5.9346
"1415804_at"	"ENSMUSG00000031778"	4.94929
"1415805_at"	"ENSMUSG00000024225"	3.75332
"1415806_at"	"ENSMUSG00000031538"	8.3339
"1415807_s_at"	"ENSMUSG00000034120"	6.20848
"1415808_at"	"ENSMUSG00000033834"	3.61281
"1415809_at"	"ENSMUSG00000033834"	2.85185
"1415810_at"	"ENSMUSG00000001228"	4.18367
"1415811_at"	"ENSMUSG00000001228"	4.49814
"1415812_at"	"ENSMUSG00000026879"	13.8089
"1415813_at"	"ENSMUSG00000027193"	8.80175
"1415814_at"	"ENSMUSG00000006273"	8.05498
"1415815_at"	"ENSMUSG00000021326"	3.18516
"1415816_at"	"ENSMUSG00000030007"	10.2547
"1415817_s_at"	"ENSMUSG00000030007"	8.7853
"1415818_at"	"ENSMUSG00000018340"	9.53154
"1415819_a_at"	"ENSMUSG00000007564"	9.06065
"1415820_x_at"	"ENSMUSG00000031311"	9.11106
"1415821_at"	"ENSMUSG00000032336"	10.9752
"1415822_at"	"ENSMUSG00000025203"	10.9238
"1415823_at"	"ENSMUSG00000025203"	6.6605
"1415824_at"	"ENSMUSG00000025203"	5.90913
"1415826_at"	"ENSMUSG00000033793"	8.32299
"1415827_a_at"	"ENSMUSG00000027808"	10.6338
"1415828_a_at"	"ENSMUSG00000027808"	8.69127
"1415829_at"	"ENSMUSG00000004880"	9.08691
"1415830_at"	"ENSMUSG00000029012"	7.14756
"1415831_at"	"ENSMUSG00000006998"	9.19724
"1415832_at"	"ENSMUSG00000068122"	4.50059
"1415833_x_at"	"ENSMUSG00000034892"	13.6308
"1415834_at"	"ENSMUSG00000019960"	9.5015
"1415835_at"	"ENSMUSG00000038891"	3.5177
"1415836_at"	"ENSMUSG00000025007"	6.72708
"1415837_at"	"ENSMUSG00000063903"	2.82017
"1415838_at"	"ENSMUSG00000019877"	9.53882
"1415839_a_at"	"ENSMUSG00000057113"	11.1899
"1415840_at"	"ENSMUSG00000032349"	9.8419
"1415841_at"	"ENSMUSG00000027012"	9.48625
"1415842_at"	"ENSMUSG00000024142"	6.35185
"1415843_at"	"ENSMUSG00000024142"	4.17333
"1415844_at"	"ENSMUSG00000024261"	3.53359
"1415845_at"	"ENSMUSG00000024261"	5.03722
"1415846_a_at"	"ENSMUSG00000030851"	2.63654
"1415847_at"	"ENSMUSG00000030851"	3.13339
"1415848_at"	"ENSMUSG00000057170"	5.5728
"1415849_s_at"	"ENSMUSG00000028832"	8.86978
"1415850_at"	"ENSMUSG00000031453"	7.3808
"1415853_at"	"ENSMUSG00000001482"	7.31001
"1415854_at"	"ENSMUSG00000019966"	3.69648
"1415855_at"	"ENSMUSG00000019966"	9.14332
"1415856_at"	"ENSMUSG00000021728"	8.55246
"1415857_at"	"ENSMUSG00000021728"	7.8721
"1415858_at"	"ENSMUSG00000030738"	9.86183
"1415859_at"	"ENSMUSG00000030738"	10.0681
"1415860_at"	"ENSMUSG00000018362"	7.66712
"1415861_at"	"ENSMUSG00000005994"	3.26427
"1415862_at"	"ENSMUSG00000005994"	3.22741
"1415863_at"	"ENSMUSG00000005610"	10.9273
"1415864_at"	"ENSMUSG00000038871"	6.43017
"1415865_s_at"	"ENSMUSG00000038871"	7.53931
"1415866_at"	"ENSMUSG00000030533"	6.34715
"1415867_at"	"ENSMUSG00000007739"	9.72963
"1415868_at"	"ENSMUSG00000007739"	3.76204
"1415869_a_at"	"ENSMUSG00000005566"	8.61437
"1415870_at"	"ENSMUSG00000029767"	11.137
"1415871_at"	"ENSMUSG00000035493"	9.2714
"1415872_at"	"ENSMUSG00000007850"	11.0013
"1415873_a_at"	"ENSMUSG00000025228"	8.84874
"1415874_at"	"ENSMUSG00000037211"	8.67452
"1415876_a_at"	"ENSMUSG00000025362"	12.5355
"1415877_at"	"ENSMUSG00000024501"	8.77994
"1415878_at"	"ENSMUSG00000030978"	7.4406
"1415879_a_at"	"ENSMUSG00000025508"	13.4346
"1415880_a_at"	"ENSMUSG00000031447"	11.7036
"1415881_at"	"ENSMUSG00000041028"	9.11452
"1415882_at"	"ENSMUSG00000041028"	9.76339
"1415883_a_at"	"ENSMUSG00000023433"	3.36134
"1415884_at"	"ENSMUSG00000023433"	5.53041
"1415885_at"	"ENSMUSG00000027350"	5.29532
"1415886_at"	"ENSMUSG00000059013"	6.11418
"1415887_at"	"ENSMUSG00000022757"	9.31695
"1415888_at"	"ENSMUSG00000004897"	9.84343
"1415889_a_at"	"ENSMUSG00000020048"	11.4514
"1415890_at"	"ENSMUSG00000028032"	9.45436
"1415891_at"	"ENSMUSG00000052738"	10.0844
"1415892_at"	"ENSMUSG00000020097"	7.08952
"1415893_at"	"ENSMUSG00000020097"	3.80609
"1415894_at"	"ENSMUSG00000022425"	7.47324
"1415897_a_at"	"ENSMUSG00000008540"	11.1533
"1415898_at"	"ENSMUSG00000008540"	2.97619
"1415899_at"	"ENSMUSG00000052837"	10.6138
"1415900_a_at"	"ENSMUSG00000005672"	3.76293
"1415901_at"	"ENSMUSG00000004846"	8.78689
"1415902_at"	"ENSMUSG00000053644"	3.20062
"1415903_at"	"ENSMUSG00000023169"	6.71904
"1415904_at"	"ENSMUSG00000015568"	10.6785
"1415905_at"	"ENSMUSG00000059654"	3.68508
"1415906_at"	"ENSMUSG00000049775"	13.4262
"1415907_at"	"ENSMUSG00000034165"	8.51147
"1415908_at"	"ENSMUSG00000047514"	9.52962
"1415909_at"	"ENSMUSG00000024966"	6.85266
"1415910_s_at"	"ENSMUSG00000031781"	7.85486
"1415911_at"	"ENSMUSG00000024423"	8.84617
"1415914_at"	"ENSMUSG00000020358"	9.98101
"1415915_at"	"ENSMUSG00000037149"	9.37137
"1415916_a_at"	"ENSMUSG00000021048"	8.08126
"1415917_at"	"ENSMUSG00000021048"	6.80806
"1415918_a_at"	"ENSMUSG00000023456"	9.86241
"1415919_at"	"ENSMUSG00000015094"	9.08871
"1415920_at"	"ENSMUSG00000053536"	8.84352
"1415921_a_at"	"ENSMUSG00000060548"	4.38221
"1415922_s_at"	"ENSMUSG00000047945"	7.0616
"1415923_at"	"ENSMUSG00000033585"	9.75999
"1415924_at"	"ENSMUSG00000026182"	2.9207
"1415925_a_at"	"ENSMUSG00000109511"	6.46596
"1415926_at"	"ENSMUSG00000109511"	6.88773
"1415927_at"	"ENSMUSG00000068614"	11.561
"1415928_a_at"	"ENSMUSG00000031812"	11.5753
"1415929_at"	"ENSMUSG00000031812"	10.2502
"1415930_a_at"	"ENSMUSG00000031812"	11.2471
"1415931_at"	"ENSMUSG00000048583"	3.77961
"1415932_x_at"	"ENSMUSG00000027546"	7.57684
"1415933_a_at"	"ENSMUSG00000000088"	10.9982
"1415934_at"	"ENSMUSG00000034432"	8.10437
"1415935_at"	"ENSMUSG00000023886"	10.0219
"1415936_at"	"ENSMUSG00000028121"	7.12193
"1415937_s_at"	"ENSMUSG00000032504"	6.47564
"1415938_at"	"ENSMUSG00000024503"	3.07442
"1415939_at"	"ENSMUSG00000041559"	10.9323
"1415940_at"	"ENSMUSG00000053581"	7.96291
"1415941_s_at"	"ENSMUSG00000053581"	7.42399
"1415943_at"	"ENSMUSG00000020592"	8.09284
"1415944_at"	"ENSMUSG00000020592"	7.25526
"1415945_at"	"ENSMUSG00000005410"	4.6415
"1415946_at"	"ENSMUSG00000025728"	7.39607
"1415947_at"	"ENSMUSG00000040713"	9.33497
"1415948_at"	"ENSMUSG00000040713"	9.58457
"1415949_at"	"ENSMUSG00000037852"	12.9927
"1415950_a_at"	"ENSMUSG00000032959"	11.3838
"1415951_at"	"ENSMUSG00000001555"	8.91318
"1415952_at"	"ENSMUSG00000024969"	7.39632
"1415953_s_at"	"ENSMUSG00000024969"	6.81771
"1415955_x_at"	"ENSMUSG00000022501"	5.94207
"1415956_a_at"	"ENSMUSG00000031065"	6.40232
"1415957_a_at"	"ENSMUSG00000061032"	7.13297
"1415958_at"	"ENSMUSG00000018566"	8.00737
"1415959_at"	"ENSMUSG00000018566"	6.50402
"1415960_at"	"ENSMUSG00000009350"	4.66262
"1415961_at"	"ENSMUSG00000026223"	10.9518
"1415962_at"	"ENSMUSG00000022312"	10.6616
"1415963_at"	"ENSMUSG00000045427"	9.35973
"1415964_at"	"ENSMUSG00000037071"	12.5251
"1415965_at"	"ENSMUSG00000037071"	7.40509
"1415966_a_at"	"ENSMUSG00000037916"	9.25808
"1415967_at"	"ENSMUSG00000037916"	9.21386
"1415968_a_at"	"ENSMUSG00000032758"	6.39172
"1415969_s_at"	"ENSMUSG00000032758"	2.90678
"1415970_at"	"ENSMUSG00000014313"	11.5705
"1415971_at"	"ENSMUSG00000069662"	9.08299
"1415972_at"	"ENSMUSG00000069662"	7.27465
"1415973_at"	"ENSMUSG00000069662"	8.79279
"1415974_at"	"ENSMUSG00000035027"	8.11974
"1415975_at"	"ENSMUSG00000008393"	8.17718
"1415976_a_at"	"ENSMUSG00000008393"	6.93206
"1415977_at"	"ENSMUSG00000019139"	6.67922
"1415978_at"	"ENSMUSG00000062380"	5.99078
"1415979_x_at"	"ENSMUSG00000043716"	12.7516
"1415980_at"	"ENSMUSG00000062683"	10.7471
"1415981_at"	"ENSMUSG00000008429"	8.98725
"1415982_at"	"ENSMUSG00000008429"	6.98159
"1415983_at"	"ENSMUSG00000021998"	7.95688
"1415984_at"	"ENSMUSG00000062908"	9.62025
"1415985_at"	"ENSMUSG00000033732"	8.82918
"1415986_at"	"ENSMUSG00000000605"	8.89763
"1415987_at"	"ENSMUSG00000034088"	9.94573
"1415988_at"	"ENSMUSG00000034088"	10.0208
"1415989_at"	"ENSMUSG00000027962"	6.42482
"1415990_at"	"ENSMUSG00000021771"	10.3635
"1415991_a_at"	"ENSMUSG00000063576"	10.3083
"1415992_at"	"ENSMUSG00000028454"	6.22027
"1415993_at"	"ENSMUSG00000022351"	8.07765
"1415994_at"	"ENSMUSG00000025479"	9.75961
"1415995_at"	"ENSMUSG00000027997"	6.95994
"1415996_at"	"ENSMUSG00000038393"	11.0968
"1415997_at"	"ENSMUSG00000038393"	7.46838
