"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"1"	"ENSMUSG00000000001"	111.077	7.55242	42.5849	26.2129	49.114	4.80632	5.1268	13.3135	7.905645	7.913275	7.73107	7.905645	7.913275	7.73107
"2"	"ENSMUSG00000000028"	9.37526666666667	0.798258	7.52916	6.27511333333333	8.40959666666667	1.63729	0.7758388	1.64661756666667	4.69879	4.78008	4.78788	4.69879	4.78008	4.78788
"3"	"ENSMUSG00000000037"	0.242266428571429	0.0308467784285714	0.208420929898571	0.204939571428571	0.148864857142857	0.0038475	0.0187374228571429	0.1046737	4.49742	4.77955	4.7145	4.49742	4.77955	4.7145
"4"	"ENSMUSG00000000056"	4.34129533333333	9.77656666666667	1.78695933333333	0.5443	0.928626666666667	0.267888666666667	9.62459633333333	0.526363333333333	5.10031	5.28983	5.26158333333333	5.10031	5.28983	5.26158333333333
"5"	"ENSMUSG00000000058"	14.4140993333333	7.34508633333333	6.63636466666667	8.18640893333333	10.6863703333333	2.583283	6.47756866666667	4.09296666666667	8.01164	8.20027	8.09154	8.01164	8.20027	8.09154
"6"	"ENSMUSG00000000078"	19.4963066666667	5.530488	12.3538359333333	3.8478	4.63546666666667	0.768106666666667	2.008289	5.12460666666667	8.064962	8.120466	7.357396	8.064962	8.120466	7.357396
"7"	"ENSMUSG00000000085"	1.59241986428571	1.39237604785714	1.36323387857143	2.63814480635714	2.66529885	0.250003228639286	1.04368167642857	0.7384525	6.02931333333333	6.37694666666667	6.68923333333333	6.02931333333333	6.37694666666667	6.68923333333333
"8"	"ENSMUSG00000000088"	50.4721146666667	205.801395333333	55.7457823333333	21.1773693333333	27.8667166666667	3.46898983333333	232.362939666667	9.51632533333333	10.7408666666667	10.56121	10.6695333333333	10.7408666666667	10.56121	10.6695333333333
"9"	"ENSMUSG00000000093"	2.99222	3.34223	5.35041	0.313125	0.114182	0.0728576	2.65768	2.28394	7.07853	7.02825	6.81462	7.07853	7.02825	6.81462
"10"	"ENSMUSG00000000094"	1.23841666666667	0.300693666666667	2.33482933333333	0.0175279333333333	0.00474373333333333	0.00514633333333333	0.235045	0.343383333333333	7.33781	6.88716	7.13126	7.33781	6.88716	7.13126
"11"	"ENSMUSG00000000120"	1.88903	0.464405	0.66973	0.0891106	0.049117	0.0129896	0.482985	0.345946	4.68884666666667	4.75906666666667	4.73938	4.68884666666667	4.75906666666667	4.73938
"12"	"ENSMUSG00000000126"	6.8207755	2.6228	1.9415085	0.5885405	0.82430785	0.0609111	1.692275	0.9063700695	5.62926	5.435475	5.35795	5.62926	5.435475	5.35795
"13"	"ENSMUSG00000000127"	8.83917	1.4366995	5.46468	7.14612	9.124295	0.9536495	1.246796	1.924245	4.7972	4.93373	4.67649	4.7972	4.93373	4.67649
"14"	"ENSMUSG00000000131"	1.72044775	2.250846324	3.194595225	3.22719534	2.897019045	0.95528324	1.631482335	1.95953297	7.42557	7.55005	7.61523	7.42557	7.55005	7.61523
"15"	"ENSMUSG00000000134"	2.12390107142857	0.347745357142857	1.80135278571429	1.41594263414286	1.50474492857143	0.158660642857143	0.217386754285714	0.7744415	8.00793	8.00953	7.99502	8.00793	8.00953	7.99502
"16"	"ENSMUSG00000000142"	2.13572428571429	0.439705428571429	0.4508008	0.240889785714286	0.348478285714286	0.0396804573814286	0.2403977	0.218208142857143	5.559805	5.403515	5.55275	5.559805	5.403515	5.55275
"17"	"ENSMUSG00000000148"	2.19307383333333	0.7340445	1.84411813333333	1.86721121666667	1.85043326666667	0.296153333333333	0.539309066666667	0.612522	5.841145	5.812615	5.896075	5.841145	5.812615	5.896075
"18"	"ENSMUSG00000000149"	21.4489525	4.71548	23.194	12.2916	13.4783	2.158235	3.56823	3.93832	4.990816	5.125282	4.947306	4.990816	5.125282	4.947306
"19"	"ENSMUSG00000000167"	0.231329614285714	0.128619785714286	0.2078121	0.201691171428571	0.348216142857143	0.124432	0.203461024285714	0.443792285714286	4.43356	3.84935	3.71809	4.43356	3.84935	3.71809
"20"	"ENSMUSG00000000168"	4.37104883333333	7.96781716666667	2.88022333333333	3.212934	3.308155	0.3163595	5.590525	0.594895	7.14256	7.06018	6.89552666666667	7.14256	7.06018	6.89552666666667
"21"	"ENSMUSG00000000171"	123.139	209.918	86.247	34.0787	61.1091	6.23757	206.125	11.5149	8.543965	8.849385	8.279	8.543965	8.849385	8.279
"22"	"ENSMUSG00000000184"	4.32489825	0.389530375	4.91137675	1.88141625	1.87930225	0.502922375	0.358588925	1.29000364775	9.24137428571429	9.50082571428571	9.37770714285714	9.24137428571429	9.50082571428571	9.37770714285714
"23"	"ENSMUSG00000000194"	2.66584227272727	0.913446727272727	1.81655520909091	2.43586407272727	2.22662583636364	0.653677645454545	0.583323118181818	1.27970609090909	5.95303	5.982072	6.152016	5.95303	5.982072	6.152016
"24"	"ENSMUSG00000000197"	0.0287256571428571	0.00448251428571429	0.0060226	0.00386352857142857	0.0150038285714286	0.0103078	0.00937024285714286	0.0797063428571429	4.19703	3.64884	3.84178	4.19703	3.64884	3.84178
"25"	"ENSMUSG00000000223"	0.111201833333333	0.523934	0.399447266666667	0.0846095	0.0693865333333333	0.0179455666666667	0.4490715	0.127869383333333	5.47449666666667	5.31896333333333	5.26037	5.47449666666667	5.31896333333333	5.26037
"26"	"ENSMUSG00000000247"	0.0707452857142857	0.0160082	0.136072285714286	0.0346197285714286	0.0580575714285714	0.0239622857142857	0.0180688714285714	0.214383714285714	4.45831	4.12978	3.95689	4.45831	4.12978	3.95689
