#1.2									
									
Genes	Genes	D5	D0	D5	D5	D5	D5	D0	D5
ENSMUST00000068258.2	ENSMUST00000068258.2	2.31441	0.223453	2.73836	1.46955	2.3273	0.520015	0.322702	1.4903
ENSMUST00000039048.1	ENSMUST00000039048.1	32.854	4.13902	30.1299	40.8688	42.3819	3.76089	3.11133	2.64135
ENSMUST00000171000.1	ENSMUST00000171000.1	4.03482	1.14622	3.11221	0.46118	0.523969	0.102894	2.33854	0.359012
ENSMUST00000025924.2	ENSMUST00000025924.2	12.3694	4.64964	12.4733	20.3123	17.5021	1.99152	3.0929	2.82892
ENSMUST00000025718.8	ENSMUST00000025718.8	94.4804	7.02326	44.015	73.9855	42.5288	34.1927	4.58138	10.1217
ENSMUST00000100848.2	ENSMUST00000100848.2	16.7666	6.79621	28.9309	55.7347	45.8778	13.7282	13.002	58.6985
ENSMUST00000086764.5	ENSMUST00000086764.5	4280	1035.69	3814.21	5509.24	4528.93	234.671	926.888	842.784
ENSMUST00000002452.6	ENSMUST00000002452.6	20.1797	44.6959	31	41.6265	39.6031	4.2654	48.3472	7.91682
ENSMUST00000179505.7	ENSMUST00000179505.7	88.7353	11.0089	48.3208	35.034	35.9917	1.24282	8.76218	23.0874
ENSMUST00000178343.1	ENSMUST00000178343.1	68.18	5.89173	39.8956	37.5858	44.994	12.1395	5.1168	68.909
ENSMUST00000060396.6	ENSMUST00000060396.6	19.0179	9.77507	8.77246	5.69342	7.57353	0.64574	10.1433	3.12669
ENSMUST00000036161.11	ENSMUST00000036161.11	10.6269	5.2322	7.9529	5.88276	6.32515	2.28685	3.21479	3.55518
ENSMUST00000109213.8	ENSMUST00000109213.8	1.04205	12.4389	1.26832	0.79588	0.422981	0.131903	7.83278	1.1063
ENSMUST00000131270.1	ENSMUST00000131270.1	0.610863	4.1855	0.571012	0.277524	0.199839	0.132813	2.84619	0.224925
ENSMUST00000196801.4	ENSMUST00000196801.4	1.64072	2.27835	1.21059	1.99447	1.1059	0.0509219	1.34433	0.0711462
ENSMUST00000198415.1	ENSMUST00000198415.1	3.33287	3.89872	4.90048	4.5338	5.48183	0.595652	2.69969	1.47789
ENSMUST00000200311.1	ENSMUST00000200311.1	4.0691	4.99471	5.28974	2.90557	5.83069	0.861554	1.63617	2.78834
ENSMUST00000069483.11	ENSMUST00000069483.11	3.64227	3.65959	3.43672	6.07505	4.88422	0.483592	2.63604	0.794349
ENSMUST00000031251.15	ENSMUST00000031251.15	65.7916	6.224	47.256	14.676	27.8801	1.07952	7.59549	4.86011
ENSMUST00000028583.7	ENSMUST00000028583.7	27.8323	6.75448	13.6359	8.61118	11.9631	1.92161	7.80512	4.84126
ENSMUST00000151163.1	ENSMUST00000151163.1	5.38205	0.849762	0.974517	0.490679	0.830282	2.24932	0.272088	1.30977
ENSMUST00000211549.1	ENSMUST00000211549.1	1.03074	2.50364	8.62443	19.0896	15.3847	4.30503	4.0859	7.17614
ENSMUST00000085192.6	ENSMUST00000085192.6	10.87	40.2388	4.28751	4.68039	4.6847	0.43997	49.6504	0.991941
ENSMUST00000128452.1	ENSMUST00000128452.1	1.85554	2.55223	5.57199	9.90077	7.9153	2.72366	0.607392	6.39651
ENSMUST00000163968.7	ENSMUST00000163968.7	2.28008	1.41321	4.57147	4.3661	5.01694	1.42966	1.34768	2.55802
ENSMUST00000102593.10	ENSMUST00000102593.10	164.239	95.7986	178.823	92.9879	113.535	20.2029	87.4943	51.5675
ENSMUST00000136843.1	ENSMUST00000136843.1	2.06178	0.996683	1.85169	3.46134	2.34075	1.01334	0.942396	0.903195
ENSMUST00000069285.5	ENSMUST00000069285.5	5.16714	1.54429	2.6114	5.43368	5.95194	1.64687	0.706877	2.19132
ENSMUST00000076694.12	ENSMUST00000076694.12	207.201	20.8646	130.791	124.461	169.756	21.1139	21.5454	49.9265
ENSMUST00000003191.13	ENSMUST00000003191.13	10.1343	2.45294	11.8378	6.77039	9.99004	0.741987	1.41771	3.83229
ENSMUST00000206941.1	ENSMUST00000206941.1	3.44068	5.20609	10.0475	3.77492	3.43248	11.9386	3.52251	5.92924
ENSMUST00000030313.8	ENSMUST00000030313.8	7.99953	1.45587	4.63814	5.09727	5.7361	0.439914	1.12565	2.40099
ENSMUST00000031250.13	ENSMUST00000031250.13	96.3592	51.138	72.1089	124.679	142.234	22.9682	42.4778	40.3131
ENSMUST00000201856.1	ENSMUST00000201856.1	7.82192	19.2521	17.6878	0.0776666	0.144403	0.467713	9.29022	3.08071
ENSMUST00000102553.10	ENSMUST00000102553.10	157.676	26.9744	216.913	137.422	233.312	24.897	21.3862	38.9686
ENSMUST00000160668.1	ENSMUST00000160668.1	0.608	3.30096	0.941855	0.679137	0.477974	1.9356	2.26619	9.94649
ENSMUST00000143791.7	ENSMUST00000143791.7	8.39159	1.37795	2.56199	1.73464	3.83863	1.05003	1.96431	4.17018
ENSMUST00000171929.7	ENSMUST00000171929.7	5.88481	0.0499479	2.5229	2.58521	4.72322	1.06637	0.0338007	0.943766
ENSMUST00000025965.11	ENSMUST00000025965.11	10.3112	0.165168	2.92139	5.41794	7.17629	0.806438	0.0801301	0.929645
ENSMUST00000128949.1	ENSMUST00000128949.1	1.32298	0.0626082	0.325346	1.052	1.05479	0.41477	0.299898	2.9313
ENSMUST00000058845.8	ENSMUST00000058845.8	160.178	1.57978	106.184	174.501	193.948	19.3583	2.05358	31.3772
ENSMUST00000183146.1	ENSMUST00000183146.1	11.2225	8.84095	8.27494	3.74142	4.18758	0.535642	9.99698	4.51496
