"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"
"1"	"ENSG00000226660"	1.11514	0	3.908	0	0	0	0	0
"2"	"ENSG00000211710"	0	0	3.08148	0	0	0	0	0
"3"	"ENSG00000237702"	0.543399	0	2.54475	0	0	0	0	0
"4"	"ENSG00000276405"	0	0	2.33565	0	0	0	0	0
"5"	"ENSG00000275791"	0.782754	0	3.6457	0	0	0	0	0
"6"	"ENSG00000276597"	0	0	4.23703	0	0	0	0	3.70066
"7"	"ENSG00000276953"	0	0	3.68829	0	0	0	0	0
"8"	"ENSG00000276819"	0	0	1.09959	0	0	0	0	0
"9"	"ENSG00000211746"	0	0	1.42386	0	0	0	0	1.12035
"10"	"ENSG00000211747"	0	0	1.0244	0	0	0	0	0
"11"	"ENSG00000255569"	0	0	0.270322	0	0	0	0	0
"12"	"ENSG00000211778"	0	0	0.2811545	0	0	0	0	0.56478
"13"	"ENSG00000211779"	0	0	0.29868875	0	0	0	0	0
"14"	"ENSG00000211788"	0	0	0	0	0	0	0	3.97548714285714
"15"	"ENSG00000211793"	0	0	0.1038885	0	0.0179424444444444	0	0	0
"16"	"ENSG00000211785"	0.149170666666667	0	0.26264735	0	0.0424562666666667	0	0.02302268	0.400737646666667
"17"	"ENSG00000211797"	0	0	0	0	0	0	0.0572178	0.24553
"18"	"ENSG00000211782"	0	0	0.142346846153846	0	0	0	0	0.082514
"19"	"ENSG00000211783"	0	0	0.12470425	0	0	0	0	0
"20"	"ENSG00000211784"	0	0	1.2028345745	0	0	0.19523475	0	0.322240435
"21"	"ENSG00000211798"	0	0	0.20294	0	0	0	0	0.150582571428571
"22"	"ENSG00000211802"	0.147474066666667	0.0228034	0.190293133333333	0	0.0352292666666667	0.0851601333333333	0	0.9905862
"23"	"ENSG00000211803"	0	0.0244485333333333	0.304434066666667	0	0.0203313333333333	0	0	0
"24"	"ENSG00000211804"	0.116877333333333	0	0.0502112222222222	0	0	0	0	0
"25"	"ENSG00000211799"	0	0	0.175655	0	0	0	0	0
"26"	"ENSG00000211809"	0	0	0	0	0	0	0	0
"27"	"ENSG00000211810"	0	0	0	0	0.212696	0	0	0.670267
"28"	"ENSG00000211812"	0	0	0.822632	0	0	0	0	2.80263
"29"	"ENSG00000211813"	0	0	0.503415	0	0	0	0	0.3442485
"30"	"ENSG00000211817"	0	0	0.564563666666667	0	0	0	0	0.291154333333333
"31"	"ENSG00000211818"	0	0	0	0	0	0	0	5.57417
"32"	"ENSG00000256590"	0.408507	0	0.476788	0	0	0	0	0
"33"	"ENSG00000237254"	0.233258	0	0	0	0	0	0	0.391109
"34"	"ENSG00000211693"	0.1872532	0	0.599571	0	0	0	0	0.1071724
"35"	"ENSG00000211701"	0	0	0	0	0	0	0	0
"36"	"ENSG00000211749"	0.19903725	0	0.7095715	0	0	0	0	0
"37"	"ENSG00000211753"	0	0	4.36785	0	0	0	0	0
"38"	"ENSG00000232869"	0	0	0	0	0	0	0	0
"39"	"ENSG00000204688"	0.0628336	0.0159137210526316	0.0179515	0.0271042421052632	0.0222983789473684	0.133403736842105	0.0105974894736842	1.07471157894737
"40"	"ENSG00000172769"	0.0291562409090909	0.0264848340909091	0.0133737772727273	0.0127813590909091	0.0135370772727273	0.302478635818182	0.0176296159090909	1.61045354090909
"41"	"ENSG00000188257"	0	0	0	0	0	0	0	0.05464225
"42"	"ENSG00000183347"	0.787180695454545	0.496118886363636	4.73999222727273	0.0284751136363636	0.0692337545454545	0.0113684090909091	0.66714245	0.512328467681818
"43"	"ENSG00000176798"	0	0	0	0	0	0	0	0
"44"	"ENSG00000188324"	0.0392618571428571	0.0564701428571429	0.0261018571428571	0.0402311	0.0278443142857143	0.0830318571428571	0.0407918571428571	1.37825514285714
"45"	"ENSG00000196611"	0.137164153	0	0.0163625333333333	0	0.0576254333333333	0	0	0.0716999333333333
"46"	"ENSG00000172208"	0.0575958769230769	0.0499580307692308	0.0326730153846154	0.0304492615384615	0.0349842076923077	0.0428799384615385	0.0322678384615385	0.598689153846154
"47"	"ENSG00000176567"	0.0981948	3.52697	0.0572571	0	0	0.0195159	2.61487	0.247855
"48"	"ENSG00000175619"	0.01510723306	0.0032304652825	0.0039326304035	0.00546371564	0.006397555137	0.008531650995	0.0040432453745	0.1592588003625
"49"	"ENSG00000196119"	0.0392564	0.0435816	0.04545132	0.0358378	0.0315986	0.1667014	0.037258	1.5659766
"50"	"ENSG00000178922"	4.4454672	1.0047818	10.0982096	9.2353408	7.246217	2.8995106	1.085406	7.12955
"51"	"ENSG00000158473"	0.967130375	0.162262875	0.70946225	1.731590875	2.5358030875	0.0866638375	0.27611925	0.4241798375
"52"	"ENSG00000242550"	0.0310891	0	0.00854856666666667	0	0	0	0.047997	0.0474741
"53"	"ENSG00000127780"	0.0319123923117647	0.00984417977647059	0.0166145709647059	0.0103311745088235	0.0121478943364706	0.0213418558823529	0.0102918075588235	0.231874371976471
"54"	"ENSG00000262085"	0	0.00539715	0	0	0	0	0.00224035	0.050214375
"55"	"ENSG00000172243"	4.6073420007425	0.056921075	5.319509092	0.058632225	0	0	0.0762527	0.67629725
"56"	"ENSG00000169248"	0.486969	0.17488375	0.9401685	0	0.0157058	0	0.121261	0
"57"	"ENSG00000089127"	1.73036472222222	0.261649027777778	2.89385171111111	0.128512038888889	0.184274722222222	0.0162692	0.2874949	0.736917138888889
"58"	"ENSG00000241356"	0	0	0	0	0	0	0	0.585209
